,물품대분류,상품명,물품판매량,제품단가,UPC,Code,ItemNumber,상위상품명
0,FC,(1+1) 좋은느낌 입는 오버나이트 대형 8개입,15,0,FC-0,FC,0,좋은느낌 입는 오버나이트 대형
1,FC,(1+1) 좋은느낌 입는 오버나이트 중형 8개입,10,0,FC-1,FC,1,좋은느낌 입는 오버나이트 중형
2,FC,(1+1) 화이트 입는 오버나이트 대형 L 8개입 (EA),27,0,FC-4,FC,4,화이트 입는 오버나이트 대형
3,FC,(1+1) 화이트 입는 오버나이트 중형 M 8개입 (EA),12,0,FC-5,FC,5,화이트 입는 오버나이트 중형
4,FC,(핫딜위크/1+1) 좋은느낌 입는 오버나이트 대형 8개입,4,0,FC-21,FC,21,좋은느낌 입는 오버나이트 대형
5,FC,(핫딜위크/1+1) 좋은느낌 입는 오버나이트 중형 8개입,5,0,FC-22,FC,22,좋은느낌 입는 오버나이트 중형
6,FC,[1+1] 좋은느낌 라인프렌즈 유기농 순면 팬티라이너 롱 36 개입,24,15000,FC-241,FC,241,좋은느낌 라인프렌즈 유기농 순면 팬티라이너 롱
7,FC,[1+1] 좋은느낌 팬티라이너 유기농 순면 롱 36개입,97,18660,FC-242,FC,242,은느낌 팬티라이너 유기농 순면 롱
8,FC,[대량발주] 택배파손_1224,1,35500,FC-338,FC,338,[대량발주] 택배파손_1224
9,FC,[동일상품 1+1] 화이트 입는 오버나이트 대형 L 8개입,26,24800,FC-370,FC,370,화이트 입는 오버나이트 대형
10,FC,[동일상품 1+1] 화이트 입는 오버나이트 중형 M 8개입,15,24800,FC-371,FC,371,화이트 입는 오버나이트 중형
11,FC,[멤버십 가입선물] 라네이처 시그니처 팬티라이너 롱 28개입,1,7100,FC-725,FC,725,라네이처 시그니처 팬티라이너 롱
12,FC,[벚꽃에디션] 좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트 8개입,6,9167,FC-740,FC,740,좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트
